交易所名称,合约名称,合约代码,现价,涨停板,跌停板,保证金-买开,保证金-卖开,保证金-每手,手续费标准-开仓-万分之,手续费标准-开仓-元,手续费标准-平昨-万分之,手续费标准-平昨-元,手续费标准-平今-万分之,手续费标准-平今-元,每跳毛利,手续费,每跳净利,备注,手续费更新时间,价格更新时间
上海期货交易所,沪铝2610,al2610,25250.0,27775.0,22725.0,12.0,12.0,15150.0,,3,,3,,3,25,6.0,19.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪铝2611,al2611,25250.0,27775.0,22725.0,12.0,12.0,15150.0,,3,,3,,3,25,6.0,19.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪铝2612,al2612,25265.0,27790.0,22735.0,12.0,12.0,15159.0,,3,,3,,3,25,6.0,19.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪铝2701,al2701,25245.0,27765.0,22720.0,12.0,12.0,15147.0,,3,,3,,3,25,6.0,19.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪铝2702,al2702,25280.0,27805.0,22750.0,12.0,12.0,15168.0,,3,,3,,3,25,6.0,19.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪铅2603,pb2603,16515.0,18165.0,14860.0,20.0,20.0,16515.0,4e-05,0.4/万分之 (3.3元),4e-05,0.4/万分之 (3.3元),0.0,0/万分之 (0元),25,3.3,21.7,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪铅2604,pb2604,16365.0,18000.0,14725.0,12.0,12.0,9819.0,4e-05,0.4/万分之 (3.3元),4e-05,0.4/万分之 (3.3元),0.0,0/万分之 (0元),25,3.3,21.7,主力合约,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪铅2605,pb2605,16405.0,18045.0,14760.0,12.0,12.0,9843.0,4e-05,0.4/万分之 (3.3元),4e-05,0.4/万分之 (3.3元),0.0,0/万分之 (0元),25,3.3,21.7,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪铅2606,pb2606,16435.0,18075.0,14790.0,12.0,12.0,9861.0,4e-05,0.4/万分之 (3.3元),4e-05,0.4/万分之 (3.3元),0.0,0/万分之 (0元),25,3.3,21.7,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪铅2607,pb2607,16470.0,18115.0,14820.0,12.0,12.0,9882.0,4e-05,0.4/万分之 (3.3元),4e-05,0.4/万分之 (3.3元),0.0,0/万分之 (0元),25,3.3,21.7,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪铅2608,pb2608,16525.0,18175.0,14870.0,12.0,12.0,9915.0,4e-05,0.4/万分之 (3.3元),4e-05,0.4/万分之 (3.3元),0.0,0/万分之 (0元),25,3.3,21.7,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪铅2609,pb2609,16580.0,18235.0,14920.0,12.0,12.0,9948.0,4e-05,0.4/万分之 (3.3元),4e-05,0.4/万分之 (3.3元),0.0,0/万分之 (0元),25,3.3,21.7,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪铅2610,pb2610,16645.0,18305.0,14980.0,12.0,12.0,9987.0,4e-05,0.4/万分之 (3.3元),4e-05,0.4/万分之 (3.3元),0.0,0/万分之 (0元),25,3.3,21.7,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪铅2611,pb2611,16770.0,18445.0,15090.0,12.0,12.0,10062.0,4e-05,0.4/万分之 (3.4元),4e-05,0.4/万分之 (3.4元),0.0,0/万分之 (0元),25,3.4,21.6,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪铅2612,pb2612,16780.0,18455.0,15100.0,12.0,12.0,10068.0,4e-05,0.4/万分之 (3.4元),4e-05,0.4/万分之 (3.4元),0.0,0/万分之 (0元),25,3.4,21.6,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪铅2701,pb2701,16760.0,18435.0,15080.0,12.0,12.0,10056.0,4e-05,0.4/万分之 (3.4元),4e-05,0.4/万分之 (3.4元),0.0,0/万分之 (0元),25,3.4,21.6,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪铅2702,pb2702,16830.0,18510.0,15145.0,12.0,12.0,10098.0,4e-05,0.4/万分之 (3.4元),4e-05,0.4/万分之 (3.4元),0.0,0/万分之 (0元),25,3.4,21.6,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪锌2603,zn2603,24105.0,26515.0,21690.0,20.0,20.0,24105.0,,3,,3,,0,25,3.0,22.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪锌2604,zn2604,24015.0,26415.0,21610.0,12.0,12.0,14409.0,,3,,3,,0,25,3.0,22.0,主力合约,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪锌2605,zn2605,24030.0,26430.0,21625.0,12.0,12.0,14418.0,,3,,3,,0,25,3.0,22.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪锌2606,zn2606,24080.0,26485.0,21670.0,12.0,12.0,14448.0,,3,,3,,0,25,3.0,22.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪锌2607,zn2607,24050.0,26455.0,21645.0,12.0,12.0,14430.0,,3,,3,,0,25,3.0,22.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪锌2608,zn2608,24015.0,26415.0,21610.0,12.0,12.0,14409.0,,3,,3,,0,25,3.0,22.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
